group,freq_min,freq_max,count,HR@10,NDCG@10
2,2,2,3094,0.2634130575307046,0.15134442599743655
3,3,3,7178,0.2972972972972973,0.175837811208116
4,4,4,12832,0.35427057356608477,0.21432307133821127
5,5,5,7587,0.36140767101621196,0.22135839266532392
6,6,6,4867,0.36572837476885145,0.22521373124093708
7,7,7,3234,0.3812615955473098,0.22957018663633547
8,8,8,2327,0.38031800601633003,0.23054658221722182
9,9,9,1727,0.37637521713954836,0.2274667198346989
10,10,10,1337,0.38967838444278236,0.239149143452556
11,11,11,1070,0.36074766355140186,0.2185301806585665
12,12,12,789,0.37896070975918883,0.2333195109589361
13,13,13,614,0.38599348534201955,0.23516492330652836
14,14,14,489,0.4212678936605317,0.26455234711497205
15,15,15,409,0.37897310513447435,0.21640819376657003
16,16,16,365,0.4054794520547945,0.24541179876714542
17,17,17,280,0.4107142857142857,0.26314491858859423
18,18,18,257,0.377431906614786,0.23101826230404116
19,19,19,205,0.36097560975609755,0.21843984874332587
20,20,20,184,0.42934782608695654,0.25516412502542674
21,21,21,154,0.4155844155844156,0.2662340360132238
22,22,22,134,0.373134328358209,0.22071351712934434
23,23,23,126,0.3492063492063492,0.21345914598170432
24,24,24,103,0.47572815533980584,0.29895119078709675
25,25,25,91,0.38461538461538464,0.22918061912448343
26,26,26,81,0.4444444444444444,0.257312655616928
27,27,27,60,0.31666666666666665,0.17570412314683312
28,28,28,71,0.4507042253521127,0.2604321483991888
29,29,29,53,0.4339622641509434,0.25451816697076374
30,30,30,57,0.3508771929824561,0.21325925230189205
31,31,31,55,0.38181818181818183,0.24150142104972533
32,32,32,44,0.3181818181818182,0.1668234415363503
33,33,33,32,0.375,0.18122282052631658
34,34,34,29,0.3448275862068966,0.21404562349128808
35,35,35,29,0.41379310344827586,0.2971747135948599
36,36,36,42,0.35714285714285715,0.20887118272768118
37,37,37,31,0.4838709677419355,0.29214621003352087
38,38,38,24,0.5,0.3794040125688081
39,39,39,23,0.5652173913043478,0.2549259228384949
40,40,40,25,0.36,0.17786333405618052
41,41,41,27,0.5185185185185185,0.33359199962991426
42,42,42,21,0.42857142857142855,0.22652438733764269
43,43,43,17,0.35294117647058826,0.21147687910203783
44,44,44,18,0.3333333333333333,0.15433209027113287
45,45,45,15,0.4,0.20690878754194603
46,46,46,11,0.45454545454545453,0.2384738748445183
47,47,47,11,0.36363636363636365,0.2601230105587988
48,48,48,16,0.625,0.3215995555414799
49,49,49,9,0.2222222222222222,0.10355108324838208
50,50,50,9,0.7777777777777778,0.5169050988670348
51,51,51,16,0.25,0.25
52,52,52,13,0.46153846153846156,0.26168883805056925
53,53,53,9,0.3333333333333333,0.15300790982561993
54,54,54,9,0.6666666666666666,0.38150350789296295
55,55,55,7,0.7142857142857143,0.3523202399550559
56,56,56,4,0.0,0.0
57,57,57,6,0.5,0.19181044977354467
58,58,58,8,0.25,0.11649496865442985
59,59,59,6,0.6666666666666666,0.543643251190486
60,60,60,10,0.2,0.1261859507142915
61,61,61,6,0.16666666666666666,0.07177942634556551
62,62,62,4,0.75,0.26102249750163625
63,63,63,4,0.5,0.32226620657947197
64,64,64,3,0.3333333333333333,0.3333333333333333
65,65,65,4,0.0,0.0
66,66,66,4,0.25,0.07226620657947197
67,67,67,4,0.5,0.5
68,68,68,2,1.0,0.6781035935540111
69,69,69,3,0.6666666666666666,0.46228426907818054
70,70,70,7,0.42857142857142855,0.2619047619047619
71,71,71,3,0.3333333333333333,0.1111111111111111
72,72,72,6,0.5,0.28208934420271803
73,73,73,7,0.5714285714285714,0.33149575343040183
74,74,74,2,0.5,0.5
75,75,75,4,0.25,0.07226620657947197
76,76,76,3,0.6666666666666666,0.4336766652213271
77,77,77,2,1.0,0.4434264036172708
78,78,78,3,0.6666666666666666,0.37697658452381916
79,79,79,2,0.0,0.0
80,80,80,1,1.0,0.6309297535714575
81,81,81,2,1.0,1.0
82,82,82,3,0.3333333333333333,0.3333333333333333
83,83,83,3,0.6666666666666666,0.5436432511904858
84,84,84,1,0.0,0.0
85,85,85,1,0.0,0.0
87,87,87,3,0.3333333333333333,0.3333333333333333
88,88,88,3,0.0,0.0
89,89,89,2,1.0,0.8154648767857288
90,90,90,1,0.0,0.0
92,92,92,4,0.25,0.09671320180863541
93,93,93,1,0.0,0.0
94,94,94,1,0.0,0.0
97,97,97,3,0.3333333333333333,0.3333333333333333
98,98,98,1,1.0,1.0
101,101,101,3,0.6666666666666666,0.2579018714896944
106,106,106,1,1.0,0.3562071871080222
108,108,108,1,1.0,0.6309297535714575
109,109,109,1,1.0,0.6309297535714575
110,110,110,1,0.0,0.0
111,111,111,1,1.0,0.38685280723454163
113,113,113,1,0.0,0.0
114,114,114,2,0.0,0.0
116,116,116,3,0.6666666666666666,0.4384882922619096
117,117,117,1,0.0,0.0
118,118,118,2,0.0,0.0
119,119,119,1,0.0,0.0
120,120,120,1,1.0,1.0
122,122,122,1,1.0,0.3010299956639812
124,124,124,1,1.0,0.38685280723454163
125,125,125,1,1.0,0.43067655807339306
127,127,127,2,0.5,0.19342640361727081
129,129,129,1,1.0,0.6309297535714575
130,130,130,2,0.0,0.0
134,134,134,1,0.0,0.0
139,139,139,1,0.0,0.0
147,147,147,1,0.0,0.0
151,151,151,1,0.0,0.0
154,154,154,1,0.0,0.0
156,156,156,2,0.0,0.0
157,157,157,1,0.0,0.0
159,159,159,1,0.0,0.0
182,182,182,1,1.0,0.38685280723454163
193,193,193,1,1.0,0.5
199,199,199,1,1.0,0.6309297535714575
200,200,200,5,0.6,0.18111193975351955
