group,freq_min,freq_max,count,HR@10,NDCG@10
2,2,2,9575,0.31989556135770236,0.2138385437591483
3,3,3,3983,0.5239769018327893,0.4539347205496432
4,4,4,1101,0.28247048138056313,0.1843030652390549
5,5,5,453,0.2560706401766004,0.17633120649469766
6,6,6,223,0.2914798206278027,0.1826345161693888
7,7,7,430,0.8,0.729230216171826
8,8,8,100,0.39,0.3029433164379376
9,9,9,51,0.3137254901960784,0.18686720688714234
10,10,10,15,0.2,0.1128357376810872
11,11,11,23,0.2608695652173913,0.1990141036490715
12,12,12,18,0.2777777777777778,0.15263470144562044
13,13,13,9,0.3333333333333333,0.18754253365539142
14,14,14,1,0.0,0.0
15,15,15,7,0.5714285714285714,0.4267338486684972
16,16,16,3,0.0,0.0
17,17,17,4,0.0,0.0
18,18,18,1,0.0,0.0
19,19,19,1,0.0,0.0
20,20,20,1,1.0,0.38685280723454163
22,22,22,2,0.0,0.0
24,24,24,1,0.0,0.0
26,26,26,1,0.0,0.0
29,29,29,1,0.0,0.0
31,31,31,1,0.0,0.0
