group,freq_min,freq_max,count,HR@10,NDCG@10
2,2,2,64,0.21875,0.10452519763866275
3,3,3,132,0.14393939393939395,0.07827070454513253
4,4,4,332,0.3042168674698795,0.20361942618332315
5,5,5,1367,0.365764447695684,0.23383383191292753
6,6,6,7305,0.5056810403832991,0.348588583076663
7,7,7,5021,0.4993029277036447,0.34534135197071364
8,8,8,3560,0.476123595505618,0.32979364662028243
9,9,9,2599,0.49095806079261256,0.3349123110415858
10,10,10,1937,0.4981930820856995,0.34205801066997804
11,11,11,1545,0.5158576051779935,0.34956629910003273
12,12,12,1181,0.5207451312447079,0.35793340467234935
13,13,13,996,0.48895582329317266,0.3294476428043585
14,14,14,830,0.4759036144578313,0.3264659608374101
15,15,15,644,0.5093167701863354,0.35434845510419627
16,16,16,526,0.4467680608365019,0.3200011820752876
17,17,17,462,0.5151515151515151,0.3609228082251744
18,18,18,370,0.5432432432432432,0.3824658974515105
19,19,19,333,0.5375375375375375,0.35042960455537436
20,20,20,282,0.5460992907801419,0.3707389940868324
21,21,21,232,0.5,0.3441398105558665
22,22,22,215,0.4511627906976744,0.31652148289802634
23,23,23,171,0.4327485380116959,0.304768758025069
24,24,24,161,0.5217391304347826,0.3307772032510337
25,25,25,137,0.48175182481751827,0.30202784390561743
26,26,26,133,0.49624060150375937,0.3299315492901214
27,27,27,111,0.4774774774774775,0.3401890181634078
28,28,28,106,0.49056603773584906,0.3237877319169254
29,29,29,84,0.5119047619047619,0.32256000533289064
30,30,30,87,0.5747126436781609,0.4339047525433871
31,31,31,93,0.6021505376344086,0.40729829050127564
32,32,32,71,0.5774647887323944,0.4224392311886814
33,33,33,77,0.5324675324675324,0.39656643870458835
34,34,34,80,0.5,0.36159171787915023
35,35,35,57,0.5087719298245614,0.34794617451707865
36,36,36,43,0.6046511627906976,0.42672457442624434
37,37,37,58,0.5172413793103449,0.3521116433278196
38,38,38,54,0.48148148148148145,0.31843670867838086
39,39,39,37,0.5675675675675675,0.4279764065529786
40,40,40,30,0.6666666666666666,0.452556927875628
41,41,41,32,0.5625,0.4086041257449843
42,42,42,36,0.4722222222222222,0.3150920241143325
43,43,43,22,0.5454545454545454,0.2901943254162328
44,44,44,28,0.6071428571428571,0.36797779628237387
45,45,45,22,0.45454545454545453,0.3595753507846353
46,46,46,21,0.5714285714285714,0.3886130234807351
47,47,47,26,0.5,0.27044236721057524
48,48,48,21,0.2857142857142857,0.12615387723100313
49,49,49,13,0.6153846153846154,0.4534568957675526
50,50,50,13,0.3076923076923077,0.20676021560757868
51,51,51,9,0.7777777777777778,0.5581910015873145
52,52,52,16,0.3125,0.2581831095982161
53,53,53,21,0.5714285714285714,0.31141935405479265
54,54,54,18,0.7222222222222222,0.5671200842351559
55,55,55,13,0.6153846153846154,0.44256368563251375
56,56,56,16,0.25,0.15199748432721494
57,57,57,15,0.6666666666666666,0.3917990195125983
58,58,58,11,0.6363636363636364,0.4005054271606907
59,59,59,14,0.7142857142857143,0.48823656615099525
60,60,60,9,0.6666666666666666,0.4083355270642225
61,61,61,13,0.5384615384615384,0.32997990447266834
62,62,62,9,0.6666666666666666,0.5085915982142938
63,63,63,13,0.23076923076923078,0.20237921181318905
64,64,64,12,0.4166666666666667,0.18388247453596493
65,65,65,9,0.7777777777777778,0.5138328682724163
66,66,66,13,0.46153846153846156,0.26003882798895667
67,67,67,8,0.625,0.4288345697591741
68,68,68,11,0.5454545454545454,0.3224701300475548
69,69,69,6,0.6666666666666666,0.5218216255952429
70,70,70,5,0.6,0.41232126232897015
71,71,71,6,0.3333333333333333,0.22603453118467035
72,72,72,5,0.6,0.2701342275925477
73,73,73,8,0.5,0.31089211758493496
74,74,74,5,0.4,0.4
75,75,75,7,0.2857142857142857,0.16156139336735106
76,76,76,6,0.5,0.2487138116197073
77,77,77,6,0.6666666666666666,0.4695882275513224
78,78,78,8,0.625,0.41665592969896603
79,79,79,3,1.0,0.7718216255952429
80,80,80,2,0.5,0.5
81,81,81,4,0.75,0.6076691395183482
82,82,82,3,0.6666666666666666,0.47689218602446437
83,83,83,5,0.8,0.3236133388501875
84,84,84,3,0.3333333333333333,0.1289509357448472
85,85,85,1,0.0,0.0
86,86,86,1,1.0,0.6309297535714575
87,87,87,3,1.0,0.42896124839380506
88,88,88,3,1.0,0.6623789802264932
90,90,90,6,0.8333333333333334,0.5315900867402259
91,91,91,3,0.6666666666666666,0.6666666666666666
92,92,92,1,1.0,1.0
93,93,93,4,0.25,0.10766913951834826
94,94,94,2,0.5,0.5
96,96,96,4,0.25,0.25
97,97,97,2,1.0,0.7153382790366966
98,98,98,4,0.5,0.1755794210050676
99,99,99,6,0.6666666666666666,0.6051549589285763
100,100,100,4,0.75,0.30886486416876857
101,101,101,2,0.0,0.0
102,102,102,2,0.5,0.5
103,103,103,2,0.5,0.5
104,104,104,1,0.0,0.0
105,105,105,1,0.0,0.0
106,106,106,1,1.0,0.43067655807339306
107,107,107,2,1.0,1.0
108,108,108,1,0.0,0.0
112,112,112,1,0.0,0.0
113,113,113,2,0.5,0.5
114,114,114,3,0.3333333333333333,0.3333333333333333
115,115,115,1,0.0,0.0
116,116,116,2,1.0,0.7153382790366966
117,117,117,1,1.0,0.5
118,118,118,1,1.0,1.0
119,119,119,1,0.0,0.0
120,120,120,4,0.75,0.5654648767857288
125,125,125,1,1.0,1.0
127,127,127,2,0.5,0.1781035935540111
128,128,128,1,1.0,1.0
129,129,129,2,0.0,0.0
130,130,130,1,1.0,1.0
131,131,131,1,1.0,0.5
135,135,135,2,0.5,0.5
138,138,138,1,1.0,0.3010299956639812
146,146,146,1,1.0,0.38685280723454163
147,147,147,1,1.0,1.0
152,152,152,2,1.0,0.5654648767857288
155,155,155,1,1.0,1.0
156,156,156,2,1.0,0.6445324131589439
157,157,157,1,1.0,0.6309297535714575
158,158,158,2,0.5,0.5
167,167,167,1,1.0,0.43067655807339306
171,171,171,1,0.0,0.0
174,174,174,1,0.0,0.0
177,177,177,1,0.0,0.0
187,187,187,1,0.0,0.0
189,189,189,1,1.0,0.5
200,200,200,16,0.5,0.3949257847793738
